"ticker","company","sector","url"
"RHT","Red Hat Inc.","Information Technology","http://finance.yahoo.com/q?s=RHT"
"RF","Regions Financial Corp.","Financials","http://finance.yahoo.com/q?s=RF"
"RSG","Republic Services Inc","Industrials","http://finance.yahoo.com/q?s=RSG"
"RAI","Reynolds American Inc.","Consumer Staples","http://finance.yahoo.com/q?s=RAI"
"RHI","Robert Half International","Industrials","http://finance.yahoo.com/q?s=RHI"
"ROK","Rockwell Automation Inc.","Industrials","http://finance.yahoo.com/q?s=ROK"
"COL","Rockwell Collins","Industrials","http://finance.yahoo.com/q?s=COL"
"ROP","Roper Industries","Industrials","http://finance.yahoo.com/q?s=ROP"
"ROST","Ross Stores Inc.","Consumer Discretionary","http://finance.yahoo.com/q?s=ROST"
"RDC","Rowan Cos.","Energy","http://finance.yahoo.com/q?s=RDC"
"R","Ryder System","Industrials","http://finance.yahoo.com/q?s=R"
"SWY","Safeway Inc.","Consumer Staples","http://finance.yahoo.com/q?s=SWY"
"SAI","SAIC","Information Technology","http://finance.yahoo.com/q?s=SAI"
